UCF Code,Status,City L1,Date of Onboarding
GCD-271,Active,Jabodetabek,2023-04-19
GCD-15622,Frozen,Jabodetabek,2023-05-29
GCD-15651,Frozen,Jabodetabek,2023-05-26
GCD-3087,Active,Jabodetabek,2023-05-29
GCD-7491,Frozen,Jabodetabek,2023-05-30
GCD-731,Frozen,Jabodetabek,2023-05-30
GCD-13207,Frozen,Jabodetabek,2023-05-30
GCD-15629,Frozen,Jabodetabek,2023-05-30
GCD-840,Blacklisted,Jabodetabek,2023-05-19
GCD-2819,Active,Jabodetabek,2023-06-12
GCD-13824,Blacklisted,Jabodetabek,2023-06-08
GCD-9758,Blacklisted,Jabodetabek,2023-06-07
GCD-15822,Active,Jabodetabek,2023-06-07
GCD-15976,Blacklisted,Jabodetabek,2023-06-15
GCD-15710,Active,Jabodetabek,2023-06-23
GCD-578,Blacklisted,Jabodetabek,2023-06-09
GCD-2272,Blacklisted,Jabodetabek,2023-06-19
GCD-747,Blacklisted,Jabodetabek,2023-06-20
GCD-3700,Active,Jabodetabek,2023-06-08
GCD-9404,Active,Jabodetabek,2023-08-22
GCD-2002,Active,Jabodetabek,2023-08-09
GCD-3995,Active,Jabodetabek,2023-08-08
GCD-16950,Blacklisted,Jabodetabek,2023-08-03
GCD-5352,Blacklisted,Jabodetabek,2023-08-07
GCD-2719,Frozen,Jabodetabek,2023-08-23
GCD-17369,Blacklisted,Jabodetabek,2023-08-07
GCD-8302,Blacklisted,Jabodetabek,2023-08-15
GCD-3312,Active,Jabodetabek,2023-08-15
GCD-2656,Active,Jabodetabek,2023-08-16
GCD-17335,Blacklisted,Jabodetabek,2023-08-15
GCD-8830,Active,Jabodetabek,2023-08-21
GCD-11589,Blacklisted,Jabodetabek,2023-08-22
GCD-17571,Blacklisted,Jabodetabek,2023-08-23
GCD-12922,Blacklisted,Jabodetabek,2023-08-23
GCD-17299,Blacklisted,Jabodetabek,2023-08-23
GCD-2497,Active,Jabodetabek,2023-08-24
GCD-1313,Blacklisted,Jabodetabek,2023-08-25
GCD-490,Active,Jabodetabek,2023-08-25
GCD-17829,Blacklisted,Jabodetabek,2023-08-25
GCD-17903,Blacklisted,Jabodetabek,2023-08-29
GCD-17913,Active,Jabodetabek,2023-08-29
GCD-18002,Blacklisted,Jabodetabek,2023-08-30
GCD-17937,Active,Jabodetabek,2023-08-30
GCD-3062,Blacklisted,Jabodetabek,2023-07-20
GCD-2670,Active,Jabodetabek,2023-07-20
GCD-16388,Blacklisted,Jabodetabek,2023-07-18
GCD-2625,Active,Jabodetabek,2023-07-27
GCD-3547,Blacklisted,Jabodetabek,2023-07-05
GCD-16679,Blacklisted,Jabodetabek,2023-07-11
GCD-6854,Active,Jabodetabek,2023-07-14
GCD-15782,Blacklisted,Jabodetabek,2023-07-21
GCD-3081,Blacklisted,Jabodetabek,2023-07-25
GCD-4714,Blacklisted,Jabodetabek,2023-07-31
GCD-16811,Blacklisted,Jabodetabek,2023-07-18
GCD-16442,Active,Jabodetabek,2023-07-18
GCD-16812,Active,Jabodetabek,2023-07-18
GCD-17119,Blacklisted,Jabodetabek,2023-07-28
GCD-812,Blacklisted,Jabodetabek,2023-07-31
GCD-16031,Frozen,Jabodetabek,2023-07-07
GCD-2607,Blacklisted,Jabodetabek,2023-07-28
GCD-15935,Frozen,Jabodetabek,2023-07-11
GCD-16168,Frozen,Jabodetabek,2023-07-07
GCD-16416,Active,Jabodetabek,2023-07-31
GCD-8241,Active,Jabodetabek,2023-06-30
GCD-4456,Blacklisted,Jabodetabek,2023-06-30
GCD-15794,Blacklisted,Jabodetabek,2023-06-23
GCD-8381,Frozen,Jabodetabek,2023-06-27
GCD-16551,Blacklisted,Jabodetabek,2023-06-30
GCD-15956,Active,Jabodetabek,2023-06-30
GCD-16286,Blacklisted,Jabodetabek,2023-08-31
GCD-13869,Active,Jabodetabek,2023-08-31
GCD-17757,Blacklisted,Jabodetabek,2023-09-06
GCD-18240,Blacklisted,Jabodetabek,2023-09-08
GCD-13701,Blacklisted,Jabodetabek,2023-09-10
GCD-17668,Active,Jabodetabek,2023-09-10
GCD-2284,Active,Jabodetabek,2023-09-11
GCD-973,Active,Jabodetabek,2023-09-11
GCD-17920,Active,Jabodetabek,2023-09-19
GCD-11372,Blacklisted,Jabodetabek,2023-09-19
GCD-12325,Active,Jabodetabek,2023-09-20
GCD-1409,Active,Jabodetabek,2023-09-26
GCD-18378,Active,Jabodetabek,2023-10-03
GCD-18804,Blacklisted,Jabodetabek,2023-10-04
GCD-13345,Blacklisted,Jabodetabek,2023-10-09
GCD-18273,Blacklisted,Jabodetabek,2023-10-13
GCD-11448,Frozen,Jabodetabek,2023-10-17
GCD-17923,Blacklisted,Jabodetabek,2023-10-17
GCD-5223,Active,Jabodetabek,2023-10-18
GCD-18857,Blacklisted,Jabodetabek,2023-10-18
GCD-2932,Blacklisted,Jabodetabek,2023-10-20
GCD-589,Active,Jabodetabek,2023-10-23
GCD-18758,Blacklisted,Jabodetabek,2023-10-24
GCD-17684,Active,Jabodetabek,2023-10-25
GCD-18043,Blacklisted,Jabodetabek,2023-10-26
