,,,,,,,,,,,,Collateral Details,Plate Number,Financier
,,,,,,,,,,,,Mazda Biante 2 OL 6 A/T 2014,B2076KVF,Modalku
,,,,,,,,,,,,BMW 730 LI A/T 2005,B223IAP,Modalku
,,,,,,,,,,,,Mazda CX-9 GT AT 2011,B17PNS,Modalku
,,,,,,,,,,,,Mercedes benz b200  at w246 cbu 2012,B1569UZD,Modalku
,,,,,,,,,,,,Mazda Biante 2.0L  5 A/T 2013,Z1885KR,Modalku
,,,,,,,,,,,,Toyota Alphard V 2.4 2WD A/T 2003,B1364EYA,Modalku
,,,,,,,,,,,,Toyota Harrier 2.4L 2WD AT 2005,B8729NF,Modalku
,,,,,,,,,,,,Honda Mobilio 004 1.5 EM CVT 2014,B1384TMT,Modalku
,,,,,,,,,,,,Nissan  Grand Livina  XV AT 2011,B2599SBC,Modalku
,,,,,,,,,,,,Mazda Biante 2.0L  6 A/T 2013,DB1292QA,Modalku
,,,,,,,,,,,,Nissan March 1.2 (4x2) AT 2012,B1402WFU,Modalku
,,,,,,,,,,,,Toyota Kijang Innova G AT 2006,B1674KYX,Modalku
,,,,,,,,,,,,Nissan Grand Livina XV A/T 2012,A1653ZZ,Modalku
,,,,,,,,,,,,Daihatsu Xenia 1.3 Xi Deluxe MT,B1316TKM,Modalku
,,,,,,,,,,,,Suzuki Ignis GX TM2FX 4x2 AT,B1406COY,Modalku
,,,,,,,,,,,,Honda Brio 1.2 Satya E AT,B1011EOE,Modalku
,,,,,,,,,,,,Nissan X-Trail  AT,B2469TFA,Modalku
,,,,,,,,,,,,Honda Mobilio E AT,B2568UBH,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G MT,B1194SIP,Modalku
,,,,,,,,,,,,Mazda Biante Skyactive 2.0 AT,B8566VQ,Modalku
,,,,,,,,,,,,Toyota Rush 1.5 S M/T,B1817JUR,Modalku
,,,,,,,,,,,,Toyota Innova 2.0 E AT,B1310BIL,Modalku
,,,,,,,,,,,,Nissan Grand Livina XV A/T,B1644SVK,Modalku
,,,,,,,,,,,,Honda City 1.5 GD8 VTi A/T,B1565CBB,Modalku
,,,,,,,,,,,,Daihatsu Sirion 1.3 RS MT,B1491COB,Modalku
,,,,,,,,,,,,Honda Brio E MT,B1686CKB,Modalku
,,,,,,,,,,,,Ford Ranger 2.5 DC XLT Diesel MT,A8207TX,Modalku
,,,,,,,,,,,,Daihatsu Grand Max 1.3 AC Blindvan MT,F8401KP,Modalku
,,,,,,,,,,,,Toyota Vios AT,B2015KBC,Modalku
,,,,,,,,,,,,Avanza 1.3 E MT,B1139PIP,Modalku
,,,,,,,,,,,,Calya 1.2 G,B1462NRU,Modalku
,,,,,,,,,,,,Suzuki Ertiga 1.3 GX Solar,AD8926YP,Modalku
,,,,,,,,,,,,Toyota Corolla 1.6 MT,B1098CEP,Modalku
,,,,,,,,,,,,Mazda 2 R MT,B1500OT,Modalku
,,,,,,,,,,,,Daihatsu YRV AT,B8997RO,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 V CVT,A1875ZI,Modalku
,,,,,,,,,,,,Grand Livina 1.5 XV AT,F1631HM,Modalku
,,,,,,,,,,,,Mazda CX 7 AT,B8789JS,Modalku
,,,,,,,,,,,,Nissan Grand Livina XV 1.5 AT,B1656TRN,Modalku
,,,,,,,,,,,,Toyota Avanza 1.3 G AT,B1879FRN,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E AT,B1912JUZ,Modalku
,,,,,,,,,,,,Honda Mobilio 1.5 E CVT AT,B1231TYI,Modalku
,,,,,,,,,,,,Suzuki APV GC 415 V DLX,B1605TZR,Modalku
,,,,,,,,,,,,Suzuki Drezza 4X2 MT,B2308BZM,Modalku
,,,,,,,,,,,,Chevrolet Spin 1.3 LTZ MT,F1145EI,Modalku
,,,,,,,,,,,,Daihatsu YRV AT,B8355N,Modalku
,,,,,,,,,,,,Mazda CX 5 2.5 L AT,B1151PZP,Modalku
,,,,,,,,,,,,Honda Civic MT 1997,B999ZX,Modalku
,,,,,,,,,,,,Suzuki Ertiga GX AT,B1104KRE,Modalku
,,,,,,,,,,,,Nissan Serena HWG Star AT,B1955IP,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E CVT AT,B1985WZA,Modalku
,,,,,,,,,,,,Toyota Landcruiser Prado 2.7 AT,A17OC,Modalku
,,,,,,,,,,,,Honda CRV 2.4 AT,F1228EI,Modalku
,,,,,,,,,,,,Isuzu Panther Is AT,B1828KN,Modalku
,,,,,,,,,,,,Nissan Juke 4x2 AT,B1624PIN,Modalku
,,,,,,,,,,,,Proton gen 2 Persona MT,B2235KBE,Modalku
,,,,,,,,,,,,Honda HRV E CVT AT,F1231AAA,Modalku
,,,,,,,,,,,,Daihatsu Xenia1.3 X AT,B1695EYI,Modalku
,,,,,,,,,,,,Nissan Terra Diesel VL AT,B1261ELT,Modalku
,,,,,,,,,,,,Suzuki Ertiga GX 1.5 AT,B2880KKS,Modalku
,,,,,,,,,,,,Chevrolet Trek LTZ AT,L1887DL,Modalku
,,,,,,,,,,,,Toyota Innova AT,B1371UOU,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G AT,B1891TYJ,Modalku
,,,,,,,,,,,,Honda HRV AT,B1411KIZ,Modalku
,,,,,,,,,,,,Toyota Camry 2.5 G AT,A1672WW,Modalku
,,,,,,,,,,,,Daihatsu Terios TX AT,B1171WYM,Modalku
,,,,,,,,,,,,Toyota Sienta AT,A1132ZJ,Modalku
,,,,,,,,,,,,Mercedes Benz E280 AT,F1376DW,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 G cvt,B1273NG,Modalku
,,,,,,,,,,,,Toyota Hilux MT,B9382FBA,Modalku
,,,,,,,,,,,,Mitsubishi Strada Triton MT,A8137UI,Modalku
,,,,,,,,,,,,Honda Brio e satya AT,B1917ZKP,Modalku
,,,,,,,,,,,,Honda Accord AT,AD1347GM,Modalku
,,,,,,,,,,,,Daihatsu Luxio D 1.5 MT,B2439KFI,Modalku
,,,,,,,,,,,,Volkswagen Tiguan 1.4 AT,B1973ELS,Modalku
,,,,,,,,,,,,Hyundai Avega MT,B1885FYQ,Modalku
,,,,,,,,,,,,Toyota Vios G AT,B8558EM,Modalku
,,,,,,,,,,,,Honda Mobilio 1.5 E CVT AT,B1202SIQ,Modalku
,,,,,,,,,,,,Toyota Yaris TRD 1.5 AT,B1685PVJ,Modalku
,,,,,,,,,,,,Toyota Yaris s MT,B2523FVI,Modalku
,,,,,,,,,,,,Daihatsu Granmax blindvan MT,B9253FCG,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.5 AT,B2682SXD,Modalku
,,,,,,,,,,,,Honda Mobilio E CVT AT,B2605SZC,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G MT,B2791PFE,Modalku
,,,,,,,,,,,,Nissan Teana 2.5 AT,B2565FP,Modalku
,,,,,,,,,,,,Toyota All New Camry 2.4,B1136VEQ,Modalku
,,,,,,,,,,,,Daihatsu Ayla MT,B2074BRA,Modalku
,,,,,,,,,,,,Suzuki Carry pickup 1.5 ac ps MT,T8806HJ,Modalku
,,,,,,,,,,,,Honda Oddysey 2.4 AT,B2027UBI,Modalku
,,,,,,,,,,,,Toyota Fortuner MT,B2893RN,Modalku
,,,,,,,,,,,,Toyota Ist 1.5 MT,B2634STK,Modalku
,,,,,,,,,,,,Honda Brio E AT,F1081AD,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.7 G AT,B1758CMK,Modalku
,,,,,,,,,,,,Toyota Vios G MT,B1184SEQ,Modalku
,,,,,,,,,,,,Toyota Yaris E AT,B1492ZUN,Modalku
